iter	Passed	Remaining
0	102	101992
1	104	51969
2	105	35209
3	107	26830
4	109	21800
5	111	18426
6	114	16216
7	116	14417
8	118	13003
9	119	11875
10	121	10945
11	123	10184
12	126	9566
13	128	9037
14	130	8554
15	132	8137
16	134	7759
17	136	7443
18	138	7158
19	142	6985
20	144	6742
21	146	6515
22	149	6333
23	151	6141
24	152	5966
25	155	5832
26	157	5675
27	159	5529
28	161	5392
29	162	5266
30	164	5145
31	166	5030
32	168	4926
33	170	4851
34	172	4756
35	174	4670
36	176	4589
37	178	4523
38	180	4447
39	182	4375
40	185	4333
41	187	4272
42	189	4207
43	190	4147
44	192	4087
45	194	4031
46	196	3977
47	197	3926
48	200	3882
49	202	3839
50	203	3791
51	205	3748
52	207	3706
53	209	3665
54	211	3634
55	213	3596
56	215	3557
57	216	3520
58	218	3491
59	220	3457
60	223	3432
61	224	3403
62	226	3374
63	228	3346
64	230	3318
65	232	3288
66	234	3264
67	236	3239
68	238	3217
69	240	3192
70	242	3166
71	243	3142
72	245	3118
73	247	3094
74	249	3075
75	252	3064
76	253	3043
77	255	3022
78	257	3001
79	259	2978
80	260	2958
81	262	2939
82	263	2912
83	265	2896
84	267	2884
85	269	2868
86	271	2851
87	273	2834
88	275	2819
89	277	2802
90	279	2786
91	281	2773
92	283	2761
93	284	2746
94	286	2732
95	288	2717
96	290	2702
97	292	2689
98	293	2674
99	295	2661
100	297	2649
101	299	2638
102	301	2626
103	303	2613
104	305	2601
105	306	2588
106	308	2576
107	310	2562
108	312	2557
109	314	2545
110	316	2533
111	318	2521
112	319	2511
113	321	2501
114	323	2490
115	325	2479
116	327	2469
117	329	2460
118	330	2450
119	332	2440
120	334	2432
121	336	2420
122	338	2411
123	340	2402
124	342	2396
125	344	2387
126	345	2377
127	347	2368
128	349	2360
129	351	2352
130	353	2342
131	355	2334
132	357	2328
133	359	2320
134	360	2311
135	362	2303
136	364	2297
137	366	2290
138	368	2282
139	371	2283
140	373	2275
141	374	2264
142	376	2257
143	378	2250
144	380	2243
145	382	2236
146	384	2229
147	387	2233
148	389	2225
149	391	2218
150	393	2211
151	395	2205
152	397	2198
153	398	2191
154	401	2189
155	403	2183
156	405	2178
157	407	2171
158	409	2165
159	411	2158
160	412	2148
161	414	2142
162	416	2137
163	418	2131
164	419	2124
165	421	2119
166	423	2112
167	425	2106
168	427	2100
169	428	2093
170	431	2090
171	433	2085
172	435	2080
173	437	2074
174	438	2069
175	440	2063
176	442	2057
